Sentiment,Comment,Timestamp
Positive,baalak paneer was hilarious,2024-08-28 02:00:28.567068
Positive,omegal plz,2024-08-28 02:00:28.567068
Positive,fun fact bhai ne kisi aur fing ke channel to tag kiya hai description me,2024-08-28 02:00:28.567068
Positive,shayad mai akela hi hu jo fing ke kehne par like krta h  u fing,2024-08-28 02:00:28.567068
Positive,ye bkl top meme nhi dekhega,2024-08-28 02:00:28.567068
Positive,  true bhai mere school mai ek dost ese hee snuff video ke ek group mai hai ,2024-08-28 02:00:28.567068
Positive,who wants fing to react on aasa kooda song  like kro,2024-08-28 02:00:28.567068
Positive, ok sorry sorry,2024-08-28 02:00:28.567068
Positive,lol,2024-08-28 02:00:28.567068
Positive,i am not hater  but bhai ye kya hai yar  bekar memes  and dirty edit i cant even read memes  please improve bhai ,2024-08-28 02:00:28.567068
Positive,fing bhai aapki consistency ke liye taali toh well deserved ,2024-08-28 02:00:28.567068
Positive, balak paneer was good one ,2024-08-28 02:00:28.567068
Positive,"he is uploading for money only when he needs some money then we see consistent uploads like he mentioned he bought car for his family and we saw consistent uploads in and of  and start of 

dont get fooled guys do the hardwork consistently he is just another content milker",2024-08-28 02:00:28.567068
Positive,bro i dont even sub you but still your video recommend me every single day and the fun fact i wacth it ,2024-08-28 02:00:28.567068
Positive,we want new song with shrinkhal and finguu,2024-08-28 02:00:28.567068
Positive,after seeing bro uploading so fast my phone almost fell from my hand,2024-08-28 02:00:28.567068
Positive,"bro your earphone name 

please reply",2024-08-28 02:00:28.567068
Positive,main toh abhi exam main ek pencil le jaa raha hoon and top bhi marta hoon hahaha,2024-08-28 02:00:28.567068
Positive, yeah bro clapping your sisters right now will clap her extra for you ,2024-08-28 02:00:28.567068
Positive,love from himachal pradesh ,2024-08-28 02:00:28.567068
Positive, youre saying knifes and movies my friend brings a gun  not even kidding,2024-08-28 02:00:28.567068
Positive,bro used my edit casually,2024-08-28 02:00:28.567068
Positive, isse maine bhot relate kiya cuz  march ko boards ke exam dene ke baad maine bhi apni crush ko confess kiya tha and usne meri feelings ko smjha and hamari baat hone lgi usse meri friendship uske saath badh gyi and hum roz raat ko  se  tak texts mein baate krte rehte thei,2024-08-28 02:00:28.567068
Positive, in my class th chemistry practical i mixed all the chemicals that me and my friends had and when i added the rd chemical whole lab was filled with fumes and white gas,2024-08-28 02:00:28.567068
Positive,me making chai while watching fings video lol,2024-08-28 02:00:28.567068
Positive,tu gaya agar sari purani video se like hata lunga,2024-08-28 02:00:28.567068
Positive,tali bhai tali video like nhi krunga ,2024-08-28 02:00:28.567068
Positive,yar me mazak krra tha pls wapas inconsistent hojao fing wali feel nhi ari,2024-08-28 02:00:28.567068
Positive,"bhai agr time manage nai hota to 
dhruv rathee bhai ka time management course khareed ly",2024-08-28 02:00:28.567068
Positive, ok fing bhai ,2024-08-28 02:00:28.567068
